Age,Gender,Education,Skills,Interests,Job_Title,Industry,Salary_Range,Growth_Rate
18,Other,Bachelor’s,"Communication, Data Analysis, Java, Management",Technology,Software Engineer,Tech,$80k–$120k,0.07
46,Female,Master’s,"Design, Communication, Data Analysis","Education, Technology",Graphic Designer,Creative,$40k–$60k,0.03
44,Other,Bachelor’s,"Python, Java, Management, Communication","Healthcare, Finance, Technology",Software Engineer,Tech,$80k–$120k,0.07
41,Male,PhD,"Communication, Java, Management, Data Analysis","Art, Healthcare",Data Scientist,Tech,$90k–$140k,0.08
61,Male,PhD,"Java, Python, Design",Healthcare,Graphic Designer,Creative,$40k–$60k,0.03
36,Male,Master’s,"Communication, Java, Management, Data Analysis","Art, Finance",Graphic Designer,Creative,$40k–$60k,0.03
54,Other,Master’s,"Data Analysis, Java","Technology, Healthcare, Art",Software Engineer,Tech,$80k–$120k,0.07
24,Female,PhD,"Data Analysis, Design, Communication","Healthcare, Finance, Technology",Graphic Designer,Creative,$40k–$60k,0.03
39,Other,Master’s,"Management, Communication, Java, Design","Finance, Art",Software Engineer,Tech,$80k–$120k,0.07
23,Female,Bachelor’s,"Communication, Python",Healthcare,Graphic Designer,Creative,$40k–$60k,0.03
54,Other,Master’s,"Python, Design, Java, Data Analysis","Education, Healthcare, Art",Software Engineer,Tech,$80k–$120k,0.07
38,Female,High School,"Design, Communication",Education,Graphic Designer,Creative,$40k–$60k,0.03
18,Male,Master’s,"Python, Management, Design","Healthcare, Education, Technology",Software Engineer,Tech,$80k–$120k,0.07
63,Female,High School,"Java, Python, Data Analysis, Communication","Technology, Education",Graphic Designer,Creative,$40k–$60k,0.03
23,Male,High School,"Data Analysis, Management, Python, Design",Healthcare,Graphic Designer,Creative,$40k–$60k,0.03
28,Other,Bachelor’s,"Python, Java, Communication","Education, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
48,Other,PhD,"Data Analysis, Design","Healthcare, Art, Technology",Software Engineer,Tech,$80k–$120k,0.07
24,Male,Bachelor’s,"Python, Design",Art,Data Scientist,Tech,$90k–$140k,0.08
52,Male,Master’s,"Data Analysis, Java, Management, Design","Technology, Education, Art",Software Engineer,Tech,$80k–$120k,0.07
60,Other,PhD,"Data Analysis, Communication","Education, Art, Healthcare",Data Scientist,Tech,$90k–$140k,0.08
37,Male,High School,"Data Analysis, Communication",Technology,Graphic Designer,Creative,$40k–$60k,0.03
51,Female,High School,"Management, Python","Technology, Education",Graphic Designer,Creative,$40k–$60k,0.03
56,Male,Bachelor’s,"Java, Management, Communication, Data Analysis","Art, Finance",Graphic Designer,Creative,$40k–$60k,0.03
41,Female,Master’s,"Python, Communication, Java","Healthcare, Education, Art",Graphic Designer,Creative,$40k–$60k,0.03
49,Other,Bachelor’s,"Python, Data Analysis, Design","Education, Finance, Art",Graphic Designer,Creative,$40k–$60k,0.03
25,Other,Bachelor’s,"Design, Communication, Java",Art,Data Scientist,Tech,$90k–$140k,0.08
26,Other,High School,"Management, Python","Art, Healthcare",Software Engineer,Tech,$80k–$120k,0.07
35,Female,High School,"Data Analysis, Design, Management, Java","Healthcare, Technology",Data Scientist,Tech,$90k–$140k,0.08
32,Other,PhD,"Design, Management, Data Analysis",Technology,Graphic Designer,Creative,$40k–$60k,0.03
40,Male,High School,"Python, Data Analysis, Design, Management","Education, Finance, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
34,Male,High School,"Communication, Data Analysis",Finance,Software Engineer,Tech,$80k–$120k,0.07
62,Female,Bachelor’s,"Management, Data Analysis, Design","Finance, Art, Technology",Data Scientist,Tech,$90k–$140k,0.08
33,Male,Bachelor’s,"Management, Java, Design","Finance, Technology",Software Engineer,Tech,$80k–$120k,0.07
32,Male,PhD,"Python, Data Analysis, Design, Communication","Finance, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
29,Female,Master’s,"Design, Data Analysis",Education,Software Engineer,Tech,$80k–$120k,0.07
43,Female,Bachelor’s,"Java, Python","Healthcare, Finance, Education",Graphic Designer,Creative,$40k–$60k,0.03
43,Other,High School,"Data Analysis, Design, Communication, Management","Education, Art",Graphic Designer,Creative,$40k–$60k,0.03
50,Female,Master’s,"Java, Communication, Design","Education, Finance",Software Engineer,Tech,$80k–$120k,0.07
57,Other,Master’s,"Communication, Design, Java","Healthcare, Technology, Education",Data Scientist,Tech,$90k–$140k,0.08
54,Female,PhD,"Data Analysis, Management, Java, Communication",Art,Data Scientist,Tech,$90k–$140k,0.08
25,Female,Bachelor’s,"Communication, Java, Design, Python",Healthcare,Graphic Designer,Creative,$40k–$60k,0.03
63,Other,PhD,"Design, Java, Data Analysis",Finance,Graphic Designer,Creative,$40k–$60k,0.03
38,Other,Master’s,"Data Analysis, Design","Education, Finance",Data Scientist,Tech,$90k–$140k,0.08
50,Other,PhD,"Java, Data Analysis",Technology,Graphic Designer,Creative,$40k–$60k,0.03
38,Female,Master’s,"Python, Management, Design, Data Analysis","Finance, Technology, Healthcare",Data Scientist,Tech,$90k–$140k,0.08
24,Female,High School,"Design, Java","Art, Technology, Healthcare",Data Scientist,Tech,$90k–$140k,0.08
63,Other,PhD,"Java, Data Analysis","Technology, Art, Education",Graphic Designer,Creative,$40k–$60k,0.03
47,Other,Master’s,"Java, Management, Design",Finance,Graphic Designer,Creative,$40k–$60k,0.03
58,Other,PhD,"Communication, Python, Management",Healthcare,Data Scientist,Tech,$90k–$140k,0.08
63,Other,High School,"Management, Java",Healthcare,Software Engineer,Tech,$80k–$120k,0.07
43,Other,High School,"Java, Management, Python, Design","Technology, Healthcare, Education",Software Engineer,Tech,$80k–$120k,0.07
18,Other,Master’s,"Data Analysis, Java, Communication, Python",Healthcare,Data Scientist,Tech,$90k–$140k,0.08
19,Female,PhD,"Data Analysis, Management, Communication","Finance, Technology",Graphic Designer,Creative,$40k–$60k,0.03
46,Female,PhD,"Python, Design, Data Analysis","Art, Technology, Finance",Data Scientist,Tech,$90k–$140k,0.08
41,Female,Master’s,"Data Analysis, Python","Finance, Art",Software Engineer,Tech,$80k–$120k,0.07
24,Other,Master’s,"Python, Java, Design",Education,Graphic Designer,Creative,$40k–$60k,0.03
59,Female,Master’s,"Java, Communication, Python","Art, Finance",Software Engineer,Tech,$80k–$120k,0.07
63,Female,PhD,"Communication, Design, Data Analysis, Java","Art, Education",Data Scientist,Tech,$90k–$140k,0.08
64,Other,Master’s,"Java, Management, Design, Communication","Art, Healthcare",Software Engineer,Tech,$80k–$120k,0.07
43,Other,Master’s,"Python, Management, Design","Technology, Art",Graphic Designer,Creative,$40k–$60k,0.03
62,Female,Master’s,"Java, Python, Design","Art, Technology, Education",Software Engineer,Tech,$80k–$120k,0.07
55,Other,High School,"Data Analysis, Management, Communication","Healthcare, Finance, Art",Data Scientist,Tech,$90k–$140k,0.08
64,Female,Master’s,"Java, Communication, Python, Management",Education,Software Engineer,Tech,$80k–$120k,0.07
46,Other,Master’s,"Data Analysis, Python, Java, Communication",Finance,Data Scientist,Tech,$90k–$140k,0.08
58,Other,High School,"Communication, Java, Design","Healthcare, Finance",Graphic Designer,Creative,$40k–$60k,0.03
44,Other,Master’s,"Data Analysis, Design, Management","Art, Finance",Graphic Designer,Creative,$40k–$60k,0.03
21,Other,High School,"Data Analysis, Design, Communication, Java","Art, Education, Healthcare",Software Engineer,Tech,$80k–$120k,0.07
27,Female,Bachelor’s,"Management, Design","Technology, Education, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
55,Male,High School,"Communication, Design, Management","Education, Art",Graphic Designer,Creative,$40k–$60k,0.03
37,Other,Master’s,"Data Analysis, Design, Management, Communication","Education, Art, Finance",Software Engineer,Tech,$80k–$120k,0.07
58,Female,High School,"Management, Communication, Data Analysis, Design","Education, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
24,Male,Bachelor’s,"Communication, Management","Technology, Education, Finance",Data Scientist,Tech,$90k–$140k,0.08
37,Other,Master’s,"Data Analysis, Communication",Education,Data Scientist,Tech,$90k–$140k,0.08
55,Female,PhD,"Python, Design, Java","Education, Art",Software Engineer,Tech,$80k–$120k,0.07
26,Male,Master’s,"Design, Communication",Art,Data Scientist,Tech,$90k–$140k,0.08
56,Male,Master’s,"Java, Python, Management","Technology, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
32,Female,Bachelor’s,"Design, Python, Communication, Management","Healthcare, Art, Finance",Software Engineer,Tech,$80k–$120k,0.07
35,Other,Bachelor’s,"Design, Python, Java",Education,Data Scientist,Tech,$90k–$140k,0.08
51,Other,Master’s,"Management, Python","Education, Finance",Graphic Designer,Creative,$40k–$60k,0.03
48,Male,PhD,"Java, Python, Data Analysis","Finance, Education",Graphic Designer,Creative,$40k–$60k,0.03
47,Female,Master’s,"Data Analysis, Java, Design, Communication","Education, Art, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
20,Other,High School,"Design, Java",Art,Data Scientist,Tech,$90k–$140k,0.08
36,Other,Master’s,"Management, Communication, Java, Design","Art, Education, Healthcare",Data Scientist,Tech,$90k–$140k,0.08
48,Female,High School,"Data Analysis, Management, Communication, Java","Art, Technology, Education",Graphic Designer,Creative,$40k–$60k,0.03
38,Female,Master’s,"Design, Communication, Java",Healthcare,Graphic Designer,Creative,$40k–$60k,0.03
34,Male,PhD,"Python, Java","Technology, Education, Healthcare",Data Scientist,Tech,$90k–$140k,0.08
63,Male,PhD,"Python, Data Analysis, Management, Communication","Finance, Technology, Healthcare",Data Scientist,Tech,$90k–$140k,0.08
29,Male,PhD,"Design, Python","Education, Healthcare, Technology",Data Scientist,Tech,$90k–$140k,0.08
59,Female,Master’s,"Design, Python, Java","Education, Art, Technology",Data Scientist,Tech,$90k–$140k,0.08
56,Other,Bachelor’s,"Communication, Python, Java","Healthcare, Finance, Art",Data Scientist,Tech,$90k–$140k,0.08
38,Male,High School,"Java, Data Analysis","Art, Education, Healthcare",Data Scientist,Tech,$90k–$140k,0.08
29,Other,Bachelor’s,"Design, Communication, Python","Art, Education",Data Scientist,Tech,$90k–$140k,0.08
58,Other,PhD,"Python, Data Analysis","Education, Art, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
34,Other,Master’s,"Management, Java, Python, Data Analysis","Healthcare, Finance",Graphic Designer,Creative,$40k–$60k,0.03
28,Female,Bachelor’s,"Management, Java","Finance, Education",Graphic Designer,Creative,$40k–$60k,0.03
53,Male,High School,"Data Analysis, Design, Management, Java",Healthcare,Software Engineer,Tech,$80k–$120k,0.07
19,Female,Bachelor’s,"Management, Data Analysis, Design, Communication",Education,Data Scientist,Tech,$90k–$140k,0.08
34,Other,PhD,"Design, Java","Art, Healthcare, Technology",Software Engineer,Tech,$80k–$120k,0.07
58,Female,Bachelor’s,"Management, Python","Healthcare, Art",Software Engineer,Tech,$80k–$120k,0.07
19,Male,Bachelor’s,"Communication, Data Analysis","Art, Finance",Graphic Designer,Creative,$40k–$60k,0.03
37,Male,Master’s,"Communication, Python","Technology, Finance, Healthcare",Data Scientist,Tech,$90k–$140k,0.08
38,Other,Master’s,"Data Analysis, Java, Design","Art, Healthcare, Technology",Data Scientist,Tech,$90k–$140k,0.08
46,Other,Bachelor’s,"Python, Data Analysis","Finance, Technology, Education",Graphic Designer,Creative,$40k–$60k,0.03
48,Other,PhD,"Data Analysis, Communication, Java",Art,Data Scientist,Tech,$90k–$140k,0.08
56,Other,Bachelor’s,"Data Analysis, Java","Technology, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
55,Other,Bachelor’s,"Management, Data Analysis, Communication","Healthcare, Education",Software Engineer,Tech,$80k–$120k,0.07
28,Male,PhD,"Python, Java, Management, Design",Finance,Data Scientist,Tech,$90k–$140k,0.08
18,Female,Bachelor’s,"Python, Design, Management, Java",Finance,Data Scientist,Tech,$90k–$140k,0.08
54,Male,PhD,"Management, Communication, Data Analysis",Healthcare,Data Scientist,Tech,$90k–$140k,0.08
23,Male,Master’s,"Python, Data Analysis","Education, Finance",Graphic Designer,Creative,$40k–$60k,0.03
43,Female,Bachelor’s,"Management, Communication, Data Analysis","Finance, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
61,Male,Master’s,"Java, Python, Management, Communication",Healthcare,Graphic Designer,Creative,$40k–$60k,0.03
20,Other,PhD,"Data Analysis, Design, Java, Python","Education, Finance",Graphic Designer,Creative,$40k–$60k,0.03
39,Other,High School,"Data Analysis, Communication, Management, Python",Art,Software Engineer,Tech,$80k–$120k,0.07
35,Male,High School,"Communication, Python, Management, Data Analysis","Technology, Education, Art",Graphic Designer,Creative,$40k–$60k,0.03
29,Female,Master’s,"Design, Communication, Management, Data Analysis","Education, Finance, Technology",Data Scientist,Tech,$90k–$140k,0.08
18,Other,Master’s,"Communication, Java, Data Analysis",Technology,Software Engineer,Tech,$80k–$120k,0.07
51,Male,Master’s,"Java, Python, Management",Education,Software Engineer,Tech,$80k–$120k,0.07
55,Female,Master’s,"Management, Python","Education, Healthcare, Finance",Data Scientist,Tech,$90k–$140k,0.08
36,Male,Bachelor’s,"Communication, Management","Art, Healthcare, Finance",Data Scientist,Tech,$90k–$140k,0.08
50,Female,PhD,"Java, Data Analysis, Management","Technology, Education, Healthcare",Data Scientist,Tech,$90k–$140k,0.08
47,Other,PhD,"Communication, Management, Java, Design","Education, Technology",Data Scientist,Tech,$90k–$140k,0.08
35,Male,Master’s,"Python, Java, Management, Design",Technology,Data Scientist,Tech,$90k–$140k,0.08
52,Male,PhD,"Java, Management, Python, Design","Art, Education",Graphic Designer,Creative,$40k–$60k,0.03
50,Male,Bachelor’s,"Java, Communication, Python","Healthcare, Technology",Software Engineer,Tech,$80k–$120k,0.07
35,Male,Bachelor’s,"Data Analysis, Management, Design",Art,Data Scientist,Tech,$90k–$140k,0.08
48,Female,Master’s,"Java, Design","Education, Art",Graphic Designer,Creative,$40k–$60k,0.03
22,Other,High School,"Python, Management","Finance, Healthcare",Data Scientist,Tech,$90k–$140k,0.08
32,Male,Bachelor’s,"Communication, Java, Design, Python","Healthcare, Technology",Software Engineer,Tech,$80k–$120k,0.07
39,Other,Bachelor’s,"Management, Communication","Healthcare, Education, Technology",Software Engineer,Tech,$80k–$120k,0.07
40,Female,PhD,"Data Analysis, Management, Design",Finance,Graphic Designer,Creative,$40k–$60k,0.03
60,Other,PhD,"Management, Design, Python, Java","Technology, Art, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
35,Female,Master’s,"Java, Management","Finance, Technology",Graphic Designer,Creative,$40k–$60k,0.03
65,Male,Bachelor’s,"Java, Python, Data Analysis, Management",Technology,Data Scientist,Tech,$90k–$140k,0.08
59,Male,Bachelor’s,"Communication, Design, Data Analysis, Java",Finance,Data Scientist,Tech,$90k–$140k,0.08
26,Male,Bachelor’s,"Design, Communication","Finance, Art",Data Scientist,Tech,$90k–$140k,0.08
18,Male,High School,"Java, Data Analysis, Python",Technology,Data Scientist,Tech,$90k–$140k,0.08
31,Other,PhD,"Design, Communication, Management, Data Analysis","Education, Technology",Graphic Designer,Creative,$40k–$60k,0.03
39,Male,PhD,"Data Analysis, Design, Python, Management","Healthcare, Education, Finance",Software Engineer,Tech,$80k–$120k,0.07
45,Male,Master’s,"Communication, Management, Data Analysis","Healthcare, Education",Graphic Designer,Creative,$40k–$60k,0.03
34,Male,Master’s,"Java, Design","Healthcare, Finance, Art",Software Engineer,Tech,$80k–$120k,0.07
55,Male,PhD,"Data Analysis, Java",Art,Software Engineer,Tech,$80k–$120k,0.07
26,Female,PhD,"Communication, Management, Design","Art, Technology, Healthcare",Data Scientist,Tech,$90k–$140k,0.08
28,Other,Master’s,"Communication, Management",Technology,Graphic Designer,Creative,$40k–$60k,0.03
52,Male,Master’s,"Data Analysis, Communication","Finance, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
45,Male,PhD,"Management, Design",Finance,Data Scientist,Tech,$90k–$140k,0.08
43,Female,High School,"Data Analysis, Python","Art, Finance",Software Engineer,Tech,$80k–$120k,0.07
58,Male,PhD,"Python, Data Analysis, Management, Communication",Finance,Software Engineer,Tech,$80k–$120k,0.07
20,Male,Master’s,"Python, Management, Java","Healthcare, Education, Finance",Software Engineer,Tech,$80k–$120k,0.07
55,Female,Bachelor’s,"Management, Java","Technology, Healthcare, Finance",Software Engineer,Tech,$80k–$120k,0.07
29,Other,Bachelor’s,"Design, Python, Management","Education, Finance",Data Scientist,Tech,$90k–$140k,0.08
30,Other,High School,"Communication, Python, Design","Education, Healthcare, Technology",Graphic Designer,Creative,$40k–$60k,0.03
21,Other,Bachelor’s,"Java, Python","Education, Art",Data Scientist,Tech,$90k–$140k,0.08
60,Male,High School,"Java, Management",Art,Software Engineer,Tech,$80k–$120k,0.07
65,Male,Bachelor’s,"Data Analysis, Python",Finance,Graphic Designer,Creative,$40k–$60k,0.03
21,Male,Bachelor’s,"Python, Design, Management, Data Analysis","Art, Technology, Finance",Graphic Designer,Creative,$40k–$60k,0.03
34,Female,Master’s,"Java, Communication, Data Analysis, Design","Technology, Art, Healthcare",Data Scientist,Tech,$90k–$140k,0.08
22,Other,Master’s,"Java, Management",Finance,Graphic Designer,Creative,$40k–$60k,0.03
36,Male,PhD,"Communication, Data Analysis","Art, Finance, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
50,Other,Bachelor’s,"Communication, Data Analysis","Finance, Education",Data Scientist,Tech,$90k–$140k,0.08
50,Male,High School,"Design, Data Analysis","Healthcare, Finance, Technology",Data Scientist,Tech,$90k–$140k,0.08
50,Female,High School,"Design, Java","Art, Healthcare, Finance",Graphic Designer,Creative,$40k–$60k,0.03
63,Male,PhD,"Communication, Java",Art,Graphic Designer,Creative,$40k–$60k,0.03
25,Other,High School,"Data Analysis, Communication, Java, Management",Healthcare,Graphic Designer,Creative,$40k–$60k,0.03
46,Other,Bachelor’s,"Management, Python, Data Analysis","Finance, Healthcare",Software Engineer,Tech,$80k–$120k,0.07
54,Male,Master’s,"Java, Communication, Management","Healthcare, Art, Finance",Graphic Designer,Creative,$40k–$60k,0.03
51,Other,PhD,"Communication, Python","Technology, Healthcare, Art",Software Engineer,Tech,$80k–$120k,0.07
53,Other,PhD,"Communication, Java",Technology,Software Engineer,Tech,$80k–$120k,0.07
43,Male,High School,"Management, Data Analysis, Python","Healthcare, Education, Technology",Graphic Designer,Creative,$40k–$60k,0.03
22,Male,PhD,"Python, Java","Finance, Art",Software Engineer,Tech,$80k–$120k,0.07
33,Male,High School,"Python, Management","Education, Finance",Software Engineer,Tech,$80k–$120k,0.07
34,Female,High School,"Data Analysis, Management, Design, Java","Education, Technology, Finance",Graphic Designer,Creative,$40k–$60k,0.03
24,Male,PhD,"Java, Design, Data Analysis","Technology, Healthcare, Art",Data Scientist,Tech,$90k–$140k,0.08
60,Female,High School,"Communication, Data Analysis, Java, Design","Education, Healthcare",Software Engineer,Tech,$80k–$120k,0.07
53,Other,High School,"Java, Python, Data Analysis, Design","Technology, Art, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
53,Male,Bachelor’s,"Data Analysis, Python","Finance, Education, Healthcare",Software Engineer,Tech,$80k–$120k,0.07
42,Male,Master’s,"Data Analysis, Communication, Java, Management","Education, Art",Software Engineer,Tech,$80k–$120k,0.07
45,Male,High School,"Design, Communication",Art,Software Engineer,Tech,$80k–$120k,0.07
36,Male,High School,"Communication, Java, Python","Art, Healthcare",Data Scientist,Tech,$90k–$140k,0.08
24,Female,PhD,"Java, Data Analysis",Art,Graphic Designer,Creative,$40k–$60k,0.03
37,Female,Master’s,"Python, Java, Communication, Data Analysis",Technology,Graphic Designer,Creative,$40k–$60k,0.03
26,Male,Master’s,"Design, Management, Communication, Data Analysis","Art, Healthcare",Software Engineer,Tech,$80k–$120k,0.07
57,Other,Master’s,"Management, Java, Design","Technology, Finance, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
38,Male,Bachelor’s,"Python, Communication, Java, Data Analysis","Art, Finance, Healthcare",Software Engineer,Tech,$80k–$120k,0.07
54,Male,High School,"Management, Communication, Design",Art,Software Engineer,Tech,$80k–$120k,0.07
65,Male,Master’s,"Data Analysis, Python","Art, Education, Finance",Software Engineer,Tech,$80k–$120k,0.07
45,Female,High School,"Management, Java","Healthcare, Education, Art",Graphic Designer,Creative,$40k–$60k,0.03
62,Male,Bachelor’s,"Management, Design, Communication","Finance, Technology",Software Engineer,Tech,$80k–$120k,0.07
60,Other,Bachelor’s,"Management, Java, Communication","Healthcare, Education, Art",Data Scientist,Tech,$90k–$140k,0.08
36,Other,High School,"Java, Data Analysis",Finance,Data Scientist,Tech,$90k–$140k,0.08
42,Other,High School,"Python, Java","Education, Finance",Software Engineer,Tech,$80k–$120k,0.07
37,Other,Bachelor’s,"Java, Python, Data Analysis, Management",Technology,Software Engineer,Tech,$80k–$120k,0.07
32,Other,Bachelor’s,"Management, Communication, Data Analysis, Java","Education, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
41,Male,Master’s,"Java, Communication, Python","Healthcare, Technology, Art",Data Scientist,Tech,$90k–$140k,0.08
19,Other,Bachelor’s,"Java, Python, Management",Technology,Data Scientist,Tech,$90k–$140k,0.08
40,Other,Master’s,"Data Analysis, Design, Java, Python","Finance, Art",Data Scientist,Tech,$90k–$140k,0.08
54,Male,PhD,"Python, Communication","Healthcare, Finance",Software Engineer,Tech,$80k–$120k,0.07
18,Male,Master’s,"Python, Java",Healthcare,Data Scientist,Tech,$90k–$140k,0.08
52,Male,Master’s,"Data Analysis, Communication, Java",Art,Graphic Designer,Creative,$40k–$60k,0.03
29,Male,Master’s,"Data Analysis, Management, Design",Education,Data Scientist,Tech,$90k–$140k,0.08
27,Male,Master’s,"Data Analysis, Communication","Healthcare, Education, Finance",Graphic Designer,Creative,$40k–$60k,0.03
40,Female,Master’s,"Design, Data Analysis","Technology, Finance, Healthcare",Data Scientist,Tech,$90k–$140k,0.08
20,Other,High School,"Management, Python, Design","Finance, Healthcare",Data Scientist,Tech,$90k–$140k,0.08
65,Male,High School,"Java, Data Analysis, Communication, Design",Finance,Graphic Designer,Creative,$40k–$60k,0.03
61,Other,Bachelor’s,"Management, Communication, Design, Python",Technology,Data Scientist,Tech,$90k–$140k,0.08
57,Male,High School,"Design, Python, Data Analysis, Management",Art,Data Scientist,Tech,$90k–$140k,0.08
52,Other,Bachelor’s,"Data Analysis, Java, Design, Management",Education,Data Scientist,Tech,$90k–$140k,0.08
43,Male,Master’s,"Java, Communication, Python",Art,Graphic Designer,Creative,$40k–$60k,0.03
21,Male,Bachelor’s,"Management, Communication","Healthcare, Finance, Art",Data Scientist,Tech,$90k–$140k,0.08
20,Other,High School,"Design, Data Analysis, Communication, Management","Healthcare, Art",Data Scientist,Tech,$90k–$140k,0.08
37,Other,PhD,"Data Analysis, Communication, Management","Healthcare, Education",Graphic Designer,Creative,$40k–$60k,0.03
53,Male,PhD,"Java, Management, Python","Art, Technology",Graphic Designer,Creative,$40k–$60k,0.03
27,Male,Bachelor’s,"Design, Java, Python",Finance,Data Scientist,Tech,$90k–$140k,0.08
58,Female,High School,"Data Analysis, Java, Design",Healthcare,Data Scientist,Tech,$90k–$140k,0.08
43,Other,High School,"Java, Management, Communication, Python","Education, Art",Graphic Designer,Creative,$40k–$60k,0.03
53,Other,High School,"Management, Data Analysis, Design",Finance,Software Engineer,Tech,$80k–$120k,0.07
56,Male,Master’s,"Python, Communication, Data Analysis",Education,Graphic Designer,Creative,$40k–$60k,0.03
45,Other,High School,"Python, Design, Management","Art, Healthcare, Education",Data Scientist,Tech,$90k–$140k,0.08
37,Other,Master’s,"Data Analysis, Design","Education, Healthcare, Art",Software Engineer,Tech,$80k–$120k,0.07
40,Other,PhD,"Data Analysis, Management",Art,Data Scientist,Tech,$90k–$140k,0.08
52,Male,Bachelor’s,"Communication, Data Analysis, Management","Art, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
48,Other,Master’s,"Management, Java","Finance, Education, Healthcare",Software Engineer,Tech,$80k–$120k,0.07
28,Female,Master’s,"Python, Management, Communication, Design","Art, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
61,Other,Master’s,"Design, Communication, Management","Technology, Healthcare",Software Engineer,Tech,$80k–$120k,0.07
49,Female,Master’s,"Python, Data Analysis",Art,Graphic Designer,Creative,$40k–$60k,0.03
39,Other,High School,"Python, Data Analysis, Design, Management","Education, Art",Data Scientist,Tech,$90k–$140k,0.08
56,Male,PhD,"Java, Communication",Technology,Software Engineer,Tech,$80k–$120k,0.07
54,Female,Master’s,"Python, Java, Data Analysis, Communication","Technology, Finance",Graphic Designer,Creative,$40k–$60k,0.03
49,Female,Master’s,"Data Analysis, Python","Healthcare, Education",Graphic Designer,Creative,$40k–$60k,0.03
42,Female,PhD,"Python, Communication",Art,Data Scientist,Tech,$90k–$140k,0.08
56,Female,PhD,"Communication, Python, Java, Management","Art, Finance, Education",Data Scientist,Tech,$90k–$140k,0.08
39,Other,Master’s,"Communication, Design, Management",Healthcare,Data Scientist,Tech,$90k–$140k,0.08
64,Female,High School,"Python, Communication","Art, Finance",Data Scientist,Tech,$90k–$140k,0.08
53,Female,PhD,"Communication, Data Analysis, Python, Design",Technology,Data Scientist,Tech,$90k–$140k,0.08
